shipment_id,order_id,carrier,tracking_number,ship_date,estimated_delivery,actual_delivery,shipping_cost,weight_kg,shipment_status,destination_city,delivery_attempts,delay_reason
S001318,O001318,Ninja Van, 515566606 ,2022-03-18 09:08:00,2022-03-19,,80,5, Delivered,Antipolo,,Warehouse delay
S001319,O001319,JRS Express,TRK47205630,2022-08-23 06:31:00,,,80,15,Out for Delivery,Davao City,1,Weather
S001320,O001320,DHL,TRK32453134,2025-10-02 17:21:00,,,150,10,Preparing,taguig,,Weather
S001321,O001321,FedEx, 418071474 ,2022-04-01 11:33:00,2022-04-03,2022-04-02,250,5,Out for Delivery,Manila,,Carrier backlog
S001322,O001322,2GO, 697503661 ,2025-10-26 09:41:00,2025-11-01,,500,0.5,Preparing,Cebu City,,Weather
S001323,O001323,Ninja Van,,2025-11-16 14:55:00,,,500,3,Lost,Makati,1,Warehouse delay
S001324,O001324,,TRK13753350,2023-01-25 06:23:00,2023-02-05,2023-02-05,80,20,Delivered,Quezon City,1,Address issue
S001325,O001325,LBC ,TRK44423864,2023-03-01 12:56:00,2023-03-11,2023-03-16,,20,Delivered,Taguig,3,Customer unavailable
S001326,O001326,2GO,TRK67238045,2023-12-03 23:18:00,2023-12-11,2023-12-15,180,20,Lost,Pasig,1,Warehouse delay
S001327,O001327,Ninja Van,,2023-08-22 18:31:00,,,,,Returned,Makati,,
S001328,O001328,FedEx,,2023-12-12 15:59:00,2023-12-19,2023-12-19,350,10,Returned,Cebu City,1,Address issue
S001329,O001329,J&T Express,,2023-07-21 15:15:00,2023-07-22,2023-07-27,80,,In Transit, caloocan,1,
S001330,O001330,ninja van , 545586240 ,2022-05-24 02:08:00,2022-05-29,2022-05-31,250,0.5,Delivered,Antipolo,3,
S001331,O001331,J&T Express,TRK51838525,2022-10-28 06:33:00,2022-11-09,,80,2,Preparing,Caloocan,1,Warehouse delay
S001332,O001332,JRS Express,TRK59497678,2022-10-16 19:56:00,2022-10-17,2022-10-23,100,15,Delayed,Quezon City,2,Address issue
S001333,O001333, DHL,TRK25962812,2024-09-06 20:26:00,2024-09-18,,120,1,Preparing ,DAVAO CITY ,2,Address issue
S001334,O001334,J&T Express, 544225017 ,2024-08-05 02:02:00,2024-08-06,,80,,Delayed,pasig,1,Customer unavailable
S001335,O001335,DHL, 826343617 ,2024-05-15 10:58:00,2024-05-18,,500,3,Preparing,Pasig,3,
S001336,O001336,2GO,,2025-09-02 09:16:00,,,,15,Out for Delivery,Antipolo,1,
S001337,O001337,J&T Express,TRK89072810,2023-09-07 02:42:00,2023-09-13,2023-09-15,350,5,Returned,Caloocan ,1,Address issue
S001338,O001338,FedEx, 722765985 ,2025-08-09 05:51:00,2025-08-14,,180,15,Delayed,Quezon City,1,Address issue
S001339,O001339,FedEx, 697277502 ,2023-03-17 00:42:00,,,120,1,Delivered,Davao City,3,
S001340,O001340,LBC , 210326134 ,2024-05-23 11:00:00,2024-06-03,2024-06-10,250,5,Out for Delivery,Taguig,,Carrier backlog
S001341,O001341,JRS Express, 934617515 ,2025-12-25 13:35:00,2026-01-01,2026-01-07,120,1,,Cebu City,,Warehouse delay
S001342,O001342,Ninja Van, 272927067 ,2023-05-28 23:23:00,2023-06-04,2023-06-06,100,0.5,Delivered,Cebu City,1,Warehouse delay
S001343,O001343,2GO,,2023-02-13 02:36:00,2023-02-20,2023-02-22,,2,,Manila,1,Warehouse delay
S001344,O001344,FedEx, 538003481 ,2025-05-20 21:43:00,2025-05-24,2025-05-23,250,2,In Transit,,1,
S001345,O001345,J&T Express, 925232910 ,2022-01-31 05:01:00,2022-02-03,2022-02-09,250,15,Preparing,Quezon City,1,Weather
S001346,O001346,FedEx,TRK96240330,2024-08-26 00:12:00,2024-09-07,2024-09-07,250,3,,Manila,1,Carrier backlog
S001347,O001347,,TRK85898377,2024-09-05 18:09:00,2024-09-11,,350,10,Delivered,,3,Weather
S001348,O001348,J&T Express, 159139250 ,2023-10-19 19:22:00,2023-10-21,,150,,Lost,Makati ,,Carrier backlog
S001349,O001349,Ninja Van, 577800313 ,2022-09-27 08:59:00,2022-09-28,2022-09-28,80,,Delayed,Iloilo,1,Weather
S001350,O001350,JRS Express,,2022-06-22 00:08:00,2022-06-25,2022-06-25,120,5,Delivered,Antipolo,2,Address issue
S001351,O001351,DHL, 391592256 ,2025-03-18 18:06:00,2025-03-19,2025-03-18,100,20, returned ,Pasig,,Weather
S001352,O001352,LBC,,2024-01-21 10:17:00,2024-01-30,2024-02-04,250,2,Lost,Pasig,2,
S001353,O001353,J&T Express, 129898362 ,2026-01-14 08:28:00,2026-01-20,,120,2,lost,Cebu City,3,Customer unavailable
S001354,O001354,DHL, 140057679 ,2025-10-08 17:58:00,2025-10-10,2025-10-13,100,3,Returned,Pasig,3,Address issue
S001355,O001355,FedEx, 710707026 ,2024-06-18 06:19:00,2024-06-23,,80,5,Delayed,Manila,1,Address issue
S001356,O001356,FedEx,,2024-11-26 00:38:00,2024-12-03,2024-12-08,180,5,Delayed,Cebu City,1,Warehouse delay
S001357,O001357,LBC,,2023-07-31 00:55:00,2023-08-05,2023-08-08,150,,IN TRANSIT,Cebu City,1,Warehouse delay
S001358,O001358,FedEx,,2023-10-05 13:04:00,2023-10-13,2023-10-20,180,10,Out for Delivery,davao city,1,Customer unavailable
S001359,O001359,2GO,TRK23908327,2025-12-09 07:38:00,2025-12-13,2025-12-20,,20,Lost,Davao City,3,Carrier backlog
S001360,O001360,2GO, 970260533 ,2023-12-28 07:03:00,2024-01-02,2024-01-02,120,3,Preparing,Caloocan,3,Weather
S001361,O001361,LBC, 485688658 ,2025-09-09 16:59:00,2025-09-15,2025-09-21,120,1,in transit ,Cebu City,1,Weather
S001362,O001362,LBC,,2022-01-25 13:59:00,2022-01-30,,250,10,In Transit,Davao City,1,Warehouse delay
S001363,O001363,LBC, 253474792 ,2025-01-16 04:53:00,2025-01-25,2025-01-30,,10,,davao city ,1,Warehouse delay
S001364,O001364,JRS Express,,2022-11-28 13:51:00,2022-11-30,2022-11-29,250,1,Delivered,Pasig,2,Customer unavailable
S001365,O001365,DHL, 526468204 ,2024-11-23 14:50:00,2024-12-03,2024-12-02,80,,In Transit,Antipolo,1,Weather
S001366,O001366,LBC, 439571015 ,2022-12-02 03:29:00,2022-12-09,2022-12-09,120,5,In Transit,Taguig,3,Address issue
S001367,O001367,DHL,,2022-04-09 17:03:00,2022-04-20,2022-04-25,350,2,Lost, antipolo,,Customer unavailable
S001368,O001368,FedEx, 365967795 ,2025-12-02 16:43:00,2025-12-13,2025-12-14,100,5,Lost,Quezon City,2,Address issue
S001369,O001369,J&T Express, 929619950 ,2024-11-18 16:02:00,2024-11-22,2024-11-27,150,0.5,Preparing,Makati,,Warehouse delay
S001370,O001370,FedEx, 379023218 ,2022-02-13 05:32:00,2022-02-20,,250,2,Returned,CEBU CITY ,1,Address issue
S001371,O001371,LBC,TRK45295633,2025-04-08 22:33:00,2025-04-20,2025-04-26,180,3,Preparing,Quezon City,3,Customer unavailable
S001372,O001372,DHL, 390048502 ,2023-07-20 21:09:00,2023-07-31,2023-08-07,500,3,Returned,Caloocan,2,Carrier backlog
S001373,O001373,J&T Express,TRK41851421,2025-06-19 14:23:00,2025-06-23,,100,0.5, Delayed,Makati,2,Warehouse delay
S001374,O001374, J&T Express,,2023-04-30 16:02:00,2023-05-07,,80,1,Out for Delivery,Manila,,Warehouse delay
S001375,O001375,, 842543910 ,2023-01-14 15:12:00,2023-01-16,2023-01-23,100,10,Out for Delivery,Davao City,1,Address issue
S001376,O001376,DHL, 177923123 ,2023-05-05 19:47:00,2023-05-08,2023-05-15,150,2,Delivered,Davao City,1,Carrier backlog
S001377,O001377,DHL,TRK64936336,2024-06-14 12:07:00,2024-06-15,2024-06-21,350,5,Preparing,Caloocan,1,Weather
S001378,O001378,FedEx, 180656001 ,2023-05-05 19:45:00,2023-05-07,2023-05-13,150,0.5,Preparing,Davao City,1,Warehouse delay
S001379,O001379,FedEx,TRK79990103,2024-08-18 03:20:00,,,100,3,Delayed,Iloilo ,1,Customer unavailable
S001380,O001380,FedEx, 843680023 ,2022-10-20 13:23:00,2022-10-25,2022-10-31,120,0.5,In Transit,Caloocan,1,
S001381,O001381,LBC,TRK85116940,2023-06-11 02:08:00,2023-06-15,2023-06-15,500,10,Delivered,Caloocan,3,Carrier backlog
S001382,O001382, J&T EXPRESS ,TRK82130452,2024-04-25 11:35:00,2024-04-28,2024-04-29,350,10,In Transit,Makati,1,Carrier backlog
S001383,O001383,FedEx,TRK53344566,2025-10-03 13:04:00,2025-10-05,,,0.5,In Transit,Manila,1,Address issue
S001384,O001384,FedEx,TRK50866177,2025-01-08 13:42:00,2025-01-20,2025-01-21,80,15,Out for Delivery,Manila,2,Customer unavailable
S001385,O001385, 2GO ,TRK59359394,2025-04-14 18:07:00,2025-04-21,2025-04-20,120,1,Preparing,Quezon City,1,Weather
S001386,O001386,2GO, 174002400 ,2022-05-17 20:32:00,2022-05-24,,180,10,Delayed,Cebu City,1,Warehouse delay
S001387,O001387,DHL, 641887944 ,2024-01-14 03:01:00,2024-01-19,2024-01-21,150,0.5,Lost,Caloocan,3,Warehouse delay
S001388,O001388,, 312817400 ,2023-08-20 18:11:00,2023-08-25,,150,5,Delivered,Cebu City ,1,Weather
S001389,O001389,J&T Express, 745704440 ,2025-07-29 13:22:00,2025-07-30,,250,1,Preparing,,,Address issue
S001390,O001390,J&T Express, 956567501 ,2024-06-22 01:27:00,2024-06-23,2024-06-22,500,,In Transit,Manila,1,
S001391,O001391,2GO,,2024-07-26 01:36:00,2024-08-03,2024-08-10,80,,Returned,Pasig,,Weather
S001392,O001392,JRS EXPRESS ,,2024-09-18 20:43:00,2024-09-20,2024-09-20,500,0.5,Lost,Davao City,3,Carrier backlog
S001393,O001393,J&T Express,TRK96596637,2022-11-09 05:06:00,2022-11-18,2022-11-23,250,15,Delayed,Quezon City,1,
S001394,O001394,DHL, 280086585 ,2025-12-18 02:41:00,2025-12-27,2025-12-26,180,3,Returned,Davao City,1,Address issue
S001395,O001395,FedEx,TRK35687050,2025-04-06 03:49:00,,,100,20,Lost,Taguig,,
S001396,O001396,FedEx, 239247149 ,2024-06-28 19:58:00,2024-07-05,2024-07-04,180,10,In Transit,Davao City,1,Weather
S001397,O001397,LBC,TRK55253841,2024-01-07 12:23:00,2024-01-18,2024-01-23,350,,Returned,Manila,1,Weather
S001398,O001398,J&T Express, 244498066 ,2022-11-09 10:44:00,2022-11-12,2022-11-10,,10,Delayed,Quezon City,1,Weather
S001399,O001399,J&T Express,TRK42750008,2023-05-09 19:14:00,2023-05-20,2023-05-23,120,0.5,Out for Delivery, cebu city,3,Weather
S001400,O001400, NINJA VAN ,,2023-02-25 11:54:00,2023-02-28,2023-03-07,100,1,Lost,Taguig,,Customer unavailable
S001401,O001401,J&T Express, 287816837 ,2023-04-12 02:36:00,2023-04-14,,500,,Preparing,Antipolo,3,Address issue
S001402,O001402,Ninja Van,,2024-08-26 02:33:00,2024-08-29,2024-08-31,120,20,Out for Delivery,Taguig,3,Carrier backlog
S001403,O001403, Ninja Van,TRK49995623,2023-10-28 19:28:00,2023-11-02,2023-11-02,120,,Returned,Antipolo,3,
S001404,O001404,JRS Express, 704368726 ,2025-05-04 05:39:00,2025-05-06,2025-05-13,180,10,,Davao City,1,Weather
S001405,O001405,Ninja Van,TRK52415648,2025-03-19 05:15:00,,,120,15,Out for Delivery,Antipolo,2,Address issue
S001406,O001406,LBC,TRK63129279,2024-07-12 07:35:00,2024-07-21,2024-07-24,100,3,,Cebu City,1,Address issue
S001407,O001407,Ninja Van,TRK42471410,2022-11-12 05:34:00,2022-11-21,2022-11-23,80,10,In Transit,Makati,1,Address issue
S001408,O001408,LBC,TRK64107611,2022-02-05 00:54:00,2022-02-13,2022-02-17,120,10,Lost,Pasig,,Warehouse delay
S001409,O001409,DHL,,2025-08-27 18:56:00,,,250,1,Delayed, DAVAO CITY,2,
S001410,O001410, Ninja Van ,,2024-05-04 13:41:00,2024-05-12,2024-05-18,80,, preparing, caloocan,1,Customer unavailable
S001411,O001411,DHL,TRK64217973,2025-09-21 21:44:00,,,100,10,Returned,Quezon City,1,
S001412,O001412,2go,TRK98058246,2022-07-26 19:50:00,2022-07-31,2022-08-07,120,1,Lost,Manila,3,Warehouse delay
S001413,O001413,JRS Express,TRK67128595,2024-08-16 22:08:00,2024-08-18,,120,20,Out for Delivery,Taguig,1,Warehouse delay
S001414,O001414,JRS Express, 946267334 ,2022-11-17 09:27:00,2022-11-26,,180,10,Delivered,Pasig,3,Weather
S001415,O001415,Ninja Van,TRK10982757,2022-10-23 10:07:00,2022-10-30,2022-10-29,120,5,Lost,Iloilo,,Address issue
S001416,O001416,Ninja Van, 523643182 ,2022-01-12 22:54:00,,,100,3,Delayed,Caloocan,,Address issue
S001417,O001417,FedEx,,2022-03-08 20:12:00,2022-03-18,2022-03-21,150,10,DELAYED,Makati,,Warehouse delay
S001418,O001418,LBC,TRK51728941,2023-01-21 20:18:00,2023-01-30,2023-01-28,100,3,Delivered,Makati,2,Warehouse delay
S001419,O001419,2GO,TRK22998653,2023-12-16 08:39:00,2023-12-24,2023-12-31,500,, in transit ,Iloilo,1,Customer unavailable
S001420,O001420,JRS Express,,2023-08-04 12:13:00,2023-08-08,2023-08-07,350,0.5,Delayed,Pasig,2,Address issue
S001421,O001421,Ninja Van, 372733167 ,2024-05-12 05:07:00,2024-05-13,2024-05-19,150,0.5,Preparing,Caloocan,2,Carrier backlog
S001422,O001422,FedEx, 638316713 ,2025-02-05 06:05:00,2025-02-17,2025-02-17,80,15,Delivered,Cebu City,1,Customer unavailable
S001423,O001423,JRS Express,TRK81755905,2025-05-15 12:57:00,2025-05-23,2025-05-25,80,0.5,Out for Delivery,Caloocan,2,Weather
S001424,O001424,LBC, 509456536 ,2022-07-29 19:57:00,2022-07-30,2022-08-03,250,3,Delivered,Pasig,3,Address issue
S001425,O001425,FedEx,TRK63824238,2023-04-20 11:14:00,2023-04-24,2023-04-23,100,15, in transit,,1,
S001426,O001426,2GO, 359626697 ,2024-06-23 06:56:00,2024-06-26,2024-06-28,180,1,Lost,antipolo,1,Carrier backlog
S001427,O001427,J&T Express, 373570728 ,2025-03-23 13:02:00,,,120,1,Out for Delivery,Pasig,1,Customer unavailable
S001428,O001428,Ninja Van,,2022-04-16 07:32:00,2022-04-21,2022-04-24,150,10,Lost, Caloocan ,,Carrier backlog
S001429,O001429,LBC ,,2022-04-20 13:34:00,2022-05-02,2022-05-09,80,0.5,In Transit,Manila,,Warehouse delay
S001430,O001430, 2GO ,,2023-09-23 20:22:00,2023-09-26,2023-10-02,500,0.5,Delayed,Makati,1,Carrier backlog
S001431,O001431,J&T Express,TRK66900640,2022-04-09 02:31:00,2022-04-13,2022-04-12,,2,Preparing,Pasig,1,Carrier backlog
S001432,O001432,, 399488148 ,2023-05-17 08:01:00,2023-05-22,2023-05-24,350,2,Returned,Davao City,1,Carrier backlog
S001433,O001433,J&T Express, 724759884 ,2025-07-15 12:11:00,2025-07-19,2025-07-22,180,,Delayed,Cebu City,2,Customer unavailable
S001434,O001434,J&T Express,,2023-06-18 23:25:00,2023-06-22,2023-06-28,250,5,Delivered,Davao City,1,Carrier backlog
S001435,O001435, Ninja Van,TRK72933226,2025-10-06 02:41:00,2025-10-17,2025-10-21,80,2,In Transit,Quezon City,1,Carrier backlog
S001436,O001436,JRS Express, 439559477 ,2023-08-15 03:50:00,2023-08-19,2023-08-20,350,0.5,Out for Delivery,PASIG ,2,
S001437,O001437,FedEx,TRK18902973,2022-07-16 04:09:00,2022-07-20,2022-07-22,120,10,Delayed,,1,Weather
S001438,O001438,DHL, 575657852 ,2023-07-28 18:09:00,2023-07-31,2023-08-02,500,5,Preparing ,Taguig,1,Weather
S001439,O001439,Ninja Van,,2023-07-22 18:34:00,2023-07-31,2023-07-31,100,15,Delivered,Antipolo,1,Address issue
S001440,O001440,LBC, 105949579 ,2025-07-20 15:10:00,2025-07-30,2025-08-03,100,20,Lost,Iloilo ,2,Carrier backlog
S001441,O001441,DHL, 237025314 ,2025-03-28 17:17:00,2025-04-04,2025-04-07,250,15,Returned , Taguig ,1,Warehouse delay
S001442,O001442,2GO,TRK95033987,2025-09-06 04:19:00,2025-09-18,2025-09-25,180,,Returned,Manila,3,Carrier backlog
S001443,O001443,LBC, 576518191 ,2022-08-09 23:24:00,2022-08-19,,250,2,Delayed,Davao City,,Customer unavailable
S001444,O001444,Ninja Van, 543917500 ,2025-12-17 09:19:00,2025-12-23,2025-12-23,100,,Delayed,Quezon City,1,Address issue
S001445,O001445,Ninja Van, 878016604 ,2023-07-29 05:54:00,2023-08-02,2023-08-08,,20,Out for Delivery,Pasig,3,Address issue
S001446,O001446,ninja van, 551169877 ,2022-02-27 10:58:00,2022-03-07,2022-03-14,500,3,In Transit,Makati,,Carrier backlog
S001447,O001447,2GO, 136394375 ,2024-08-14 01:43:00,2024-08-19,2024-08-23,150,5, out for delivery ,Taguig,,Carrier backlog
S001448,O001448,J&T Express, 229837095 ,2025-06-04 06:03:00,2025-06-14,2025-06-15,80,3,Preparing,Manila,1,Weather
S001449,O001449,FedEx,,2025-07-01 15:47:00,2025-07-12,2025-07-11,180,5,Lost, antipolo,1,Carrier backlog
S001450,O001450,DHL, 966150282 ,2022-04-14 13:48:00,2022-04-21,2022-04-26,120,3,Lost,Makati,3,Warehouse delay
S001451,O001451,J&T Express, 826713171 ,2022-02-17 04:35:00,2022-02-24,2022-02-24,120,10,Delayed , Quezon City ,2,Warehouse delay
S001452,O001452,FEDEX,TRK27949951,2023-07-18 00:18:00,2023-07-25,,100,10,,davao city,1,Customer unavailable
S001453,O001453,J&T Express, 701209126 ,2025-08-22 16:46:00,2025-08-25,2025-08-27,100,20,Preparing,Iloilo,2,Customer unavailable
S001454,O001454,2GO,TRK91834244,2024-07-13 12:57:00,2024-07-18,2024-07-23,80,10,Delayed,Manila,2,Carrier backlog
S001455,O001455,LBC,,2025-01-06 09:40:00,2025-01-16,,120,20,Out for Delivery,Cebu City,1,Address issue
S001456,O001456,LBC,TRK59884553,2024-11-19 10:02:00,2024-11-21,2024-11-22,500,5,Delivered,Quezon City,3,Customer unavailable
S001457,O001457,Ninja Van,TRK79155772,2022-09-09 00:55:00,2022-09-12,2022-09-11,180,20,Delivered,,1,Weather
S001458,O001458,LBC,,2024-07-28 15:08:00,,,120,10,Delayed,Taguig,3,Customer unavailable
S001459,O001459,Ninja Van,,2025-09-25 14:56:00,2025-10-05,2025-10-08,350,0.5,Out for Delivery,Cebu City,1,Address issue
S001460,O001460,DHL,TRK27632125,2022-01-21 12:29:00,2022-01-27,,,15,Lost,Quezon City,1,Carrier backlog
S001461,O001461,2GO,TRK49789220,2022-07-15 01:09:00,2022-07-22,2022-07-27,80,20,In Transit,Pasig,1,Address issue
S001462,O001462,, 519195766 ,2023-08-18 09:08:00,2023-08-30,2023-09-02,250,2,Returned,Antipolo,1,Carrier backlog
S001463,O001463,Ninja Van, 930067182 ,2022-06-01 04:00:00,2022-06-08,2022-06-08,250,2,Delivered,Makati,1,Weather
S001464,O001464,DHL,,2025-08-03 07:02:00,2025-08-07,2025-08-14,100,5,In Transit,Iloilo,1,
S001465,O001465,2GO, 491709959 ,2023-05-03 04:19:00,2023-05-14,2023-05-20,350,5,Returned,Pasig,1,
S001466,O001466,J&T Express,,2025-02-10 00:46:00,2025-02-13,2025-02-15,150,15,Preparing,Taguig,2,Weather
S001467,O001467,LBC,,2022-07-10 17:15:00,2022-07-18,2022-07-16,500,5,Out for Delivery,Antipolo,,Warehouse delay
S001468,O001468,LBC, 283416451 ,2022-10-03 01:00:00,2022-10-15,2022-10-13,,10, Delivered ,Iloilo,,Customer unavailable
S001469,O001469,,,2024-05-29 12:38:00,2024-06-04,2024-06-10,100,,Delayed,Antipolo,1,Warehouse delay
S001470,O001470,J&T Express, 870023689 ,2024-07-30 14:41:00,2024-08-03,2024-08-09,180,20,Delivered,Iloilo,1,Warehouse delay
S001471,O001471,LBC,TRK64974072,2025-10-20 11:52:00,2025-10-22,2025-10-28,80,15,Lost,Cebu City,,Customer unavailable
S001472,O001472,DHL,TRK75779437,2022-10-28 19:40:00,,,100,,out for delivery ,Iloilo,3,Warehouse delay
S001473,O001473,2GO,,2025-07-09 13:03:00,2025-07-18,,100,1,Delayed, ILOILO,,Carrier backlog
S001474,O001474,J&T Express, 608794417 ,2024-09-26 13:52:00,2024-09-30,,150,2,Delayed,Iloilo,1,Address issue
S001475,O001475,Ninja Van, 670428586 ,2025-08-07 23:36:00,2025-08-11,2025-08-09,350,0.5,In Transit ,Antipolo,1,Warehouse delay
S001476,O001476,FedEx,,2023-06-14 04:50:00,2023-06-18,2023-06-23,250,2,Delayed,Pasig,,Customer unavailable
S001477,O001477, LBC ,TRK48953340,2023-10-21 01:04:00,2023-10-29,2023-11-03,100,1,Delivered,Antipolo,1,Carrier backlog
S001478,O001478,2go ,TRK55103882,2022-04-10 17:46:00,2022-04-12,2022-04-12,350,5,PREPARING ,Pasig,1,Weather
S001479,O001479,JRS Express,TRK55293320,2022-10-26 03:55:00,,,120,1,Delayed ,Iloilo,,
S001480,O001480, DHL,TRK63553071,2023-11-26 18:26:00,2023-12-04,2023-12-08,100,2,Returned,Manila,3,Warehouse delay
S001481,O001481,LBC,TRK94915093,2024-08-05 04:59:00,2024-08-06,2024-08-11,150,15, In Transit ,Taguig,1,Weather
S001482,O001482,JRS Express, 702685905 ,2024-10-04 15:54:00,2024-10-08,2024-10-10,250,1,Returned,Taguig,2,Warehouse delay
S001483,O001483,2GO, 696883528 ,2025-08-12 19:02:00,2025-08-22,2025-08-20,120,10,Preparing,Quezon City,,Warehouse delay
S001484,O001484,FedEx,TRK77405097,2025-07-21 06:53:00,2025-07-27,2025-07-27,250,0.5, preparing ,Pasig,1,Weather
S001485,O001485,Ninja Van, 171821628 ,2023-05-04 11:09:00,2023-05-09,2023-05-07,350,10, Delayed ,Pasig,1,Weather
S001486,O001486,FedEx, 845340416 ,2025-07-27 05:12:00,2025-08-08,2025-08-06,350,20,Delivered,Davao City,1,Customer unavailable
S001487,O001487,LBC, 369249092 ,2022-11-06 16:29:00,2022-11-10,2022-11-09,180,3,In Transit,Taguig,,Warehouse delay
S001488,O001488,JRS Express , 910236794 ,2024-04-14 20:36:00,2024-04-17,2024-04-20,100,,Returned,Davao City,1,Warehouse delay
S001489,O001489,LBC, 140556232 ,2022-08-10 18:17:00,2022-08-18,2022-08-22,180,1,Out for Delivery,Makati,1,Carrier backlog
S001490,O001490,DHL,,2022-08-08 14:23:00,2022-08-14,2022-08-18,180,0.5,Returned,Antipolo,1,Address issue
S001491,O001491,LBC, 967862200 ,2023-12-07 19:26:00,2023-12-11,2023-12-11,120,,Out for Delivery,Quezon City,,
S001492,O001492, LBC, 422017580 ,2022-06-22 23:58:00,2022-07-02,2022-07-01,80,1,Lost,Antipolo,1,Customer unavailable
S001493,O001493,2GO,TRK94508439,2023-09-20 10:22:00,2023-09-26,2023-09-29,500,1,Returned,Taguig,,Customer unavailable
S001494,O001494,JRS Express,TRK22218046,2025-02-12 15:00:00,2025-02-17,,80,10,Preparing,Iloilo,1,Address issue
S001495,O001495,J&T Express, 651284645 ,2022-01-06 13:20:00,2022-01-07,2022-01-11,,5,out for delivery,Davao City,2,
S001496,O001496,LBC, 809535914 ,2025-10-06 06:40:00,2025-10-13,2025-10-20,150,10,Delayed,Iloilo,1,Address issue
S001497,O001497,2GO,TRK36248753,2022-01-09 10:55:00,2022-01-21,2022-01-21,350,0.5,Preparing,Taguig,,
S001498,O001498,J&T Express, 542960646 ,2024-04-13 23:00:00,2024-04-22,2024-04-26,80,10,Delivered,Antipolo,,Customer unavailable
S001499,O001499,FedEx, 314120383 ,2025-05-14 16:23:00,2025-05-15,,250,2,Returned,Antipolo,,Weather
S001500,O001500,Ninja Van,TRK76814066,2024-10-22 01:52:00,2024-10-23,2024-10-24,80,,In Transit,Davao City,1,Address issue
S001501,O001501,LBC,TRK52396892,2022-10-11 09:56:00,2022-10-14,2022-10-16,120,2, preparing ,Davao City,2,Weather
S001502,O001502,J&T Express,TRK14191926,2023-06-22 01:35:00,,,120,2,Delayed,Cebu City,1,
S001503,O001503,LBC,,2025-03-30 08:49:00,2025-04-11,2025-04-10,100,10,Delayed, Manila ,,Address issue
S001504,O001504,2GO, 849278643 ,2023-09-22 13:01:00,2023-09-29,2023-09-29,,1,Lost,Davao City,1,Carrier backlog
S001505,O001505,2go ,,2023-02-16 15:52:00,2023-02-20,2023-02-20,80,10,Delayed,quezon city ,1,Address issue
S001506,O001506,Ninja Van,TRK90326306,2024-10-07 13:59:00,2024-10-11,2024-10-13,80,5,In Transit,Iloilo,1,Warehouse delay
S001507,O001507,2GO,TRK48569168,2023-12-05 09:41:00,2023-12-09,2023-12-14,500,5,In Transit,Davao City,1,Carrier backlog
S001508,O001508,JRS Express, 115076626 ,2023-02-02 12:29:00,2023-02-08,,250,15,Delivered,Antipolo,1,Weather
S001509,O001509,JRS Express, 692073291 ,2024-10-03 11:43:00,2024-10-14,2024-10-17,,10,Out for Delivery,Caloocan,1,
S001510,O001510,FedEx,,2023-05-26 12:30:00,2023-06-01,,250,10,Out for Delivery,Makati,1,Carrier backlog
S001511,O001511, Ninja Van,TRK16747245,2025-10-30 06:56:00,2025-10-31,2025-10-30,120,15,IN TRANSIT ,ILOILO ,1,Warehouse delay
S001512,O001512,LBC,TRK94427194,2023-09-03 21:02:00,2023-09-09,2023-09-16,150,10, returned ,Quezon City,1,Customer unavailable
S001513,O001513,2GO,,2025-02-06 01:39:00,2025-02-14,2025-02-21,250,15,Preparing,Taguig,1,Customer unavailable
S001514,O001514,LBC,,2022-11-08 03:35:00,2022-11-18,2022-11-24,100,20,Delayed,Makati,2,Weather
S001515,O001515,JRS Express,TRK13434577,2024-10-29 07:14:00,2024-11-02,2024-10-31,120,20,Preparing,Pasig,1,
S001516,O001516,Ninja Van,,2024-06-28 18:31:00,2024-06-30,2024-07-04,350,3,,CALOOCAN,1,Address issue
S001517,O001517,JRS Express,TRK95735481,2025-04-15 20:20:00,2025-04-27,2025-04-26,350,1, Preparing ,Pasig,,Address issue
S001518,O001518,JRS Express,TRK96601556,2025-03-15 18:30:00,2025-03-25,2025-03-31,80,3,Delivered,Makati,1,
S001519,O001519,DHL,,2023-11-30 10:16:00,2023-12-02,2023-12-06,350,,Preparing,Pasig,1,Address issue
S001520,O001520,Ninja Van, 690805934 ,2022-08-27 08:32:00,2022-08-28,2022-08-31,,3,Lost,Cebu City,,Carrier backlog
S001521,O001521,FedEx,,2025-01-12 03:45:00,2025-01-14,2025-01-20,500,0.5,Out for Delivery,Pasig,1,Address issue
S001522,O001522,2GO,TRK63259814,2024-09-21 23:45:00,2024-09-26,,80,3,Preparing,Davao City,1,Address issue
S001523,O001523,2GO,,2023-06-05 00:45:00,,,120,5,Lost,Pasig,1,
S001524,O001524,Ninja Van,TRK44068961,2024-05-18 16:03:00,2024-05-22,,500,,In Transit,Davao City,2,Address issue
S001525,O001525,, 509582708 ,2023-05-14 11:02:00,2023-05-15,2023-05-22,350,10,Delayed,Taguig,,Carrier backlog
S001526,O001526,2GO, 816126749 ,2024-11-20 18:16:00,2024-11-26,,500,3,Delivered,Antipolo,3,Customer unavailable
S001527,O001527,JRS Express,,2024-11-19 21:37:00,2024-12-01,2024-12-05,80,2, LOST ,Makati,1,Warehouse delay
S001528,O001528,JRS Express, 722727700 ,2024-02-20 16:33:00,,,,0.5, Preparing ,Pasig,,Carrier backlog
S001529,O001529,LBC ,TRK89230362,2024-09-25 19:30:00,2024-09-30,2024-10-02,80,10,Out for Delivery,Antipolo,1,Carrier backlog
