return_id,order_id,customer_id,return_date,return_reason,refund_amount,return_status,inspection_result
R00392,O002369,C00317,2022-09-01,Defective,2999,Rejected,Failed
R00393,O004755,C00067,2022-05-10, DEFECTIVE ,,Approved,
R00394,O002443,C00299,2023-06-17,Defective,1499,Requested,Failed
R00395,O004837,C00803,2025-12-24,Not as Described,2999,Pending,
R00396,O001759,C00096,2022-01-20,Late Delivery,1499,Completed ,Passed
R00397,O003936,C00022,2022-05-28,Damaged,,Rejected ,
R00398,O001924,C00563,2025-07-24,Damaged,4999,Requested,
R00399,O001756,C00976,2022-10-04,Not as Described,2999,Pending,
R00400,O001228,C00658,2023-10-10,Defective,2999,Rejected,
R00401,O003471,C00675,2024-01-09,Defective,799,Pending,Passed
R00402,O004156,C00822,2024-12-05,Damaged,999,Requested,
R00403,O003941,C00548,2024-06-26,Damaged,4999,Requested,
R00404,O003253,C00152,2023-07-20,Damaged,9999,Rejected,Failed
R00405,O001355,C00256,2024-07-08,Wrong Item,4999,Requested,Not Inspected
R00406,O004107,C00002,2023-06-29,Changed Mind,799,rejected ,Passed
R00407,O000987,C00121,2023-07-18,Changed Mind,9999,Requested,Passed
R00408,O004047,C00929,2022-04-24, defective ,9999,Completed,
R00409,O000659,C00744,2023-06-03,Late Delivery,9999,Rejected,Not Inspected
R00410,O001506,C00393,2025-12-09,Not as Described,,Approved,Passed
R00411,O000984,C00293,2023-07-22,Wrong Item,9999,Requested,Failed
R00412,O001275,C00158,2023-12-09,Not as Described,2999,Rejected,Not Inspected
R00413,O002756,C00200,2022-09-05,Damaged,,Approved,Passed
R00414,O001440,C00112,2023-06-19,Damaged,499,COMPLETED,Passed
R00415,O004062,C00283,2022-03-02,Not as Described,999,Approved,Failed
R00416,O000261,C00494,2023-01-15,Defective,,Rejected,Not Inspected
R00417,O000506,C00078,2022-04-30,Changed Mind,1499,approved ,Failed
R00418,O002240,C00653,2023-06-29,Late Delivery,2999,Requested,Passed
R00419,O002594,C00758,2022-09-07,Not as Described,9999,Requested,
R00420,O002845,C00802,2024-06-06,Damaged,4999,Completed,Not Inspected
R00421,O000600,C00316,2025-06-05, Wrong Item ,2999,Rejected,Passed
R00422,O001083,C00722,2022-11-09,Wrong Item,,Rejected,Not Inspected
R00423,O001122,C00515,2022-05-12,Changed Mind,1499,Rejected,Failed
R00424,O004288,C00141,2022-04-17,Damaged,999,Approved,
R00425,O003718,C00568,2023-10-26,Wrong Item,4999,Completed ,Passed
R00426,O004816,C00494,2025-06-30,Damaged,9999,Completed,Passed
R00427,O003642,C00741,2023-07-08,Changed Mind,4999,Approved,Passed
R00428,O001006,C00915,2023-12-09,Defective,2999,Pending,Passed
R00429,O000382,C00427,2022-07-08,Defective,499,Rejected,Failed
R00430,O000664,C00729,2023-09-08,,,Requested,Failed
R00431,O001332,C00899,2024-01-11,wrong item,2999,Rejected,
R00432,O001403,C00070,2025-08-15,Defective,499,Pending,Not Inspected
R00433,O000510,C00152,2025-11-19,Damaged,, Completed,Passed
R00434,O003974,C00099,2022-08-05,Late Delivery,799, APPROVED,Not Inspected
R00435,O003461,C00782,2023-09-07,Defective,2999,Approved,Failed
R00436,O002326,C00380,2025-05-26,Wrong Item,1499,Rejected,
R00437,O004040,C00617,2025-12-04,Damaged,1499,Approved,Passed
R00438,O004025,C00899,2023-11-29,Changed Mind,1499,Approved ,Failed
R00439,O004348,C00007,2022-10-25,Damaged,9999,Requested,
R00440,O002389,C00986,2022-05-28, Late Delivery ,1499,Pending,Not Inspected
R00441,O001988,C00691,2025-03-02,,9999,Requested,Passed
R00442,O000234,C00094,2025-03-29,Not as Described,999,Completed,
R00443,O001736,C00891,2023-05-22,Wrong Item,799,Requested,Failed
R00444,O004512,C00812,2025-07-19, WRONG ITEM,4999,,
R00445,O003135,C00660,2025-04-24,Wrong Item,499,Pending,
R00446,O004259,C00575,2025-12-25,Changed Mind,999,Rejected,Not Inspected
R00447,O003408,C00198,2023-02-23,Damaged ,,Approved,Not Inspected
R00448,O002268,C00461,2025-03-10,Not as Described,799,,
R00449,O002657,C00014,2024-09-27,Defective,2999,Rejected,Failed
R00450,O004783,C00284,2022-03-10,Changed Mind,1499,Completed,Passed
R00451,O001296,C00874,2025-09-20,Defective,1499,Completed,Failed
R00452,O001124,C00646,2022-07-24,Not as Described,4999, Pending ,Failed
R00453,O003401,C00869,2024-01-18,Wrong Item ,499,Rejected,Not Inspected
R00454,O000987,C00774,2024-03-23,Changed Mind,,Rejected,Passed
R00455,O000741,C00748,2022-04-25,Defective,2999,Requested,Not Inspected
R00456,O001030,C00516,2022-05-29,Wrong Item,499,Approved,
R00457,O002743,C00686,2022-12-23,Wrong Item,999,Pending,
R00458,O004532,C00079,2023-12-06,Defective,799,Pending,Not Inspected
R00459,O004818,C00214,2022-11-01,Late Delivery,799,Completed,Passed
R00460,O002689,C00382,2023-11-15,Not as Described,499,COMPLETED,Failed
R00461,O002395,C00560,2022-01-05,Changed Mind,999,Requested,Not Inspected
R00462,O002022,C00647,2022-11-17,Damaged,499,Requested,Passed
R00463,O001423,C00745,2025-02-11,Changed Mind,9999,Approved,Passed
R00464,O002516,C00685,2023-10-16,Damaged,799,Completed,Failed
R00465,O000601,C00213,2024-10-10,Wrong Item,,Requested,Not Inspected
R00466,O001953,C00017,2025-10-15, CHANGED MIND ,,Rejected,Not Inspected
R00467,O004943,C00631,2025-09-10,Late Delivery,799,Approved ,Failed
R00468,O002650,C00578,2025-05-14,Wrong Item,499,Approved,Passed
R00469,O004223,C00764,2022-10-23,Changed Mind,999,Completed,
R00470,O001774,C00268,2023-11-16,Late Delivery,799, Requested,
R00471,O002021,C00762,2022-11-28, Damaged ,799,Requested,
R00472,O004981,C00931,2023-04-28,Not as Described,499,approved,
R00473,O003860,C00903,2025-05-07,Wrong Item,2999,Requested,Failed
R00474,O000149,C00952,2023-01-31,Changed Mind,999,Requested,Passed
R00475,O001002,C00980,2024-07-23,Wrong Item,4999,Pending,Failed
R00476,O001034,C00514,2025-02-25,Late Delivery,799,Rejected,
R00477,O001127,C00649,2025-02-11,Not as Described,9999,Requested,
R00478,O004615,C00948,2025-06-18,Late Delivery,9999,Completed,
R00479,O002424,C00845,2025-12-25,Late Delivery,1499,REQUESTED,Not Inspected
R00480,O003176,C00073,2022-05-11,Damaged,,Completed,Not Inspected
R00481,O004674,C00871,2022-01-08,Late Delivery,499,Pending,Failed
R00482,O004126,C00990,2024-07-26,Not as Described,,Requested,Passed
R00483,O002344,C00660,2024-10-13,Defective,9999,Requested,Passed
R00484,O004793,C00944,2024-03-30,Defective,9999,Approved,Passed
R00485,O004907,C00214,2025-04-04,Changed Mind,,Requested,Passed
R00486,O002687,C00698,2023-09-16,DAMAGED,4999,Completed ,
R00487,O001849,C00804,2022-07-06, CHANGED MIND ,,Completed,Passed
R00488,O001515,C00617,2023-02-25,Wrong Item,1499,Requested,Passed
R00489,O001160,C00206,2024-10-19,Late Delivery,, Completed ,Failed
R00490,O003310,C00841,2025-03-24,Defective,,Rejected,Failed
R00491,O000506,C00804,2025-08-17,Wrong Item,9999,Requested,Failed
R00492,O000657,C00280,2022-10-15,Defective ,9999,Requested,Not Inspected
R00493,O002166,C00495,2023-07-22,Damaged,, Completed,Not Inspected
R00494,O001480,C00482,2025-06-10,Damaged,799,Completed,
R00495,O000945,C00830,2024-05-30,Not as Described,,Requested,Failed
R00496,O001191,C00787,2023-04-08,Not as Described,2999,Approved,Passed
R00497,O001428,C00819,2025-06-28,,999, Rejected ,
R00498,O000558,C00489,2023-12-25,Changed Mind,2999,Rejected,
R00499,O004131,C00480,2022-12-26,Wrong Item,799,Pending,Failed
R00500,O004696,C00520,2024-06-25,Wrong Item,499,requested ,Passed
